evaluation_set,method_family,method_name,n_assets,initial_wealth,metric,n,mean,std,sem,ci95_half_width
test,baseline,baseline_cash,1,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,1,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,1,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_equal_weight,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,20,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
test,baseline,baseline_mean_variance,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,baseline,baseline_mean_variance,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,fd,fd_hjb_viscosity,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,fd,fd_hjb_viscosity,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,fd,fd_hjb_viscosity,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,fd,fd_hjb_viscosity,5,0.8,target_hit_rate,15,0.5333333333333333,0.5163977794943222,0.1333333333333333,0.26133333333333325
test,fd,fd_hjb_viscosity,5,0.9,target_hit_rate,15,0.9333333333333333,0.2581988897471611,0.06666666666666665,0.13066666666666663
test,fd,fd_hjb_viscosity,5,0.95,target_hit_rate,15,0.8666666666666667,0.35186577527449836,0.09085135251589957,0.17806865093116314
